gbifID,genus,species,lon,lat,basisOfRecord
43691679,Bolboschoenus,Bolboschoenus maritimus,35.507652,32.555496,OBSERVATION
43394572,Bolboschoenus,Bolboschoenus maritimus,35.563374,32.91062,OBSERVATION
48442947,Bolboschoenus,Bolboschoenus maritimus,35.261841,32.779474,OBSERVATION
48774354,Bolboschoenus,Bolboschoenus maritimus,35.792687,32.833109,OBSERVATION
48454823,Bolboschoenus,Bolboschoenus maritimus,35.648433,33.24576,OBSERVATION
42324778,Bolboschoenus,Bolboschoenus maritimus,34.958578,32.433886,OBSERVATION
48533042,Bolboschoenus,Bolboschoenus maritimus,34.866094,31.853822,OBSERVATION
48808387,Bolboschoenus,Bolboschoenus maritimus,34.681931,31.722434,OBSERVATION
48911941,Bolboschoenus,Bolboschoenus maritimus,35.579872,33.272133,OBSERVATION
48710772,Bolboschoenus,Bolboschoenus maritimus,35.521353,31.903478,OBSERVATION
48377176,Bolboschoenus,Bolboschoenus maritimus,35.785617,32.895357,OBSERVATION
48712209,Bolboschoenus,Bolboschoenus maritimus,35.768529,32.897239,OBSERVATION
48334169,Bolboschoenus,Bolboschoenus maritimus,35.771643,32.882798,OBSERVATION
48668925,Bolboschoenus,Bolboschoenus maritimus,35.836289,32.957326,OBSERVATION
48436403,Bolboschoenus,Bolboschoenus maritimus,34.866087,31.855626,OBSERVATION
48441614,Bolboschoenus,Bolboschoenus maritimus,35.489999,33.029829,OBSERVATION
48393587,Bolboschoenus,Bolboschoenus maritimus,35.782399,32.893569,OBSERVATION
48874764,Bolboschoenus,Bolboschoenus maritimus,34.866094,31.853822,OBSERVATION
48720000,Bolboschoenus,Bolboschoenus maritimus,35.491204,32.404943,OBSERVATION
48448546,Bolboschoenus,Bolboschoenus maritimus,35.491204,32.404943,OBSERVATION
43326123,Bolboschoenus,Bolboschoenus maritimus,35.648447,33.248465,OBSERVATION
48452845,Bolboschoenus,Bolboschoenus maritimus,35.638015,32.872513,OBSERVATION
48845625,Bolboschoenus,Bolboschoenus maritimus,35.643453,33.107827,OBSERVATION
48883407,Bolboschoenus,Bolboschoenus maritimus,34.866094,31.853822,OBSERVATION
48584005,Bolboschoenus,Bolboschoenus maritimus,34.866094,31.853822,OBSERVATION
42555212,Bolboschoenus,Bolboschoenus maritimus,35.452565,32.656609,OBSERVATION
48648147,Bolboschoenus,Bolboschoenus maritimus,35.83741,32.964534,OBSERVATION
48648391,Bolboschoenus,Bolboschoenus maritimus,34.939349,32.464506,OBSERVATION
48681647,Bolboschoenus,Bolboschoenus maritimus,34.896984,32.411207,OBSERVATION
85750216,Bolboschoenus,Bolboschoenus maritimus,34.954323,32.434779,OBSERVATION
48624656,Bolboschoenus,Bolboschoenus maritimus,35.099255,32.157238,OBSERVATION
48704074,Bolboschoenus,Bolboschoenus maritimus,35.813485,33.062932000000004,OBSERVATION
48940021,Bolboschoenus,Bolboschoenus maritimus,34.858274,32.247888,OBSERVATION
42649530,Bolboschoenus,Bolboschoenus maritimus,35.729367,33.142659,OBSERVATION
48590029,Bolboschoenus,Bolboschoenus maritimus,34.698184,31.837933,OBSERVATION
42531329,Bolboschoenus,Bolboschoenus maritimus,34.954138,32.501508,OBSERVATION
48737853,Bolboschoenus,Bolboschoenus maritimus,34.865037,31.853819,OBSERVATION
48855925,Bolboschoenus,Bolboschoenus maritimus,34.856158,32.246078,OBSERVATION
48792185,Bolboschoenus,Bolboschoenus maritimus,35.681119,33.139246,OBSERVATION
42266008,Bolboschoenus,Bolboschoenus maritimus,35.11554,32.847083,OBSERVATION
43702462,Bolboschoenus,Bolboschoenus maritimus,35.601525,33.075509,OBSERVATION
48565894,Bolboschoenus,Bolboschoenus maritimus,34.892651,32.434641,OBSERVATION
48635746,Bolboschoenus,Bolboschoenus maritimus,35.11554,32.847083,OBSERVATION
42530925,Bolboschoenus,Bolboschoenus maritimus,35.361267,32.869559,OBSERVATION
